Article_ID,age_in_years,army,cause_of_death,children,education_institution,educ_level,family_roles,gender,occupation_phrase,origin,place_lived_last,religion
431928514,True,True,True,True,True,False,True,True,True,True,True,True
2038054333,True,True,True,True,True,True,True,True,True,False,True,True
424015567,True,True,True,True,True,False,True,True,True,False,True,True
940930401,True,True,True,True,False,True,True,True,True,True,True,True
430642115,True,True,True,True,True,True,True,True,True,True,True,True
425271352,True,True,True,True,True,True,True,True,True,True,True,True
2071045558,True,True,True,True,True,True,True,True,True,True,True,False
423958253,True,True,True,True,True,True,True,True,True,True,True,True
2747149064,True,True,True,True,True,True,False,True,True,True,True,False
2482462891,True,True,True,True,True,True,True,True,True,True,True,True
424178202,True,True,True,True,True,True,True,True,True,False,True,True
429687336,True,True,True,True,True,True,True,True,True,True,True,True
432077718,True,True,True,True,True,True,True,True,True,True,False,True
2504534874,True,True,True,True,True,True,True,True,True,True,True,True
2227943119,True,True,True,True,True,True,True,True,True,True,True,False
431602330,True,True,True,True,True,True,False,True,True,True,True,False
1367739621,True,True,True,True,True,True,True,True,True,True,True,True
431323386,True,True,True,True,True,True,True,True,True,True,True,True
424625094,True,True,True,True,True,True,True,True,True,False,True,True
431340147,True,True,True,True,True,True,True,True,True,True,True,True
424933543,True,True,True,True,True,True,True,True,True,True,True,False
2218964948,True,True,True,True,True,True,True,True,True,True,True,True
2216508334,True,True,True,True,True,True,True,True,True,True,True,True
430311681,True,True,True,True,True,True,True,True,True,False,True,True
429422071,True,True,True,True,True,True,True,True,True,True,True,True
2217715445,True,True,True,True,True,False,True,True,False,True,True,True
2228383465,True,True,True,True,True,True,True,True,True,True,True,True
2653452011,True,True,True,True,True,False,True,True,False,False,True,True
1986542691,True,True,True,True,True,True,True,True,True,True,True,True
424256044,False,True,True,True,True,True,True,True,True,True,True,True
1634994796,True,True,True,True,True,True,True,True,True,True,True,True
427654938,True,True,True,True,True,True,True,True,True,False,False,True
2218084792,True,True,True,True,True,False,False,True,True,True,True,True
428164606,True,True,True,True,True,True,True,True,True,True,True,True
1666935917,True,True,True,True,True,True,True,True,True,True,True,True
2043006154,True,True,True,True,True,False,True,True,True,True,False,True
433443832,True,True,True,True,True,True,True,True,True,True,True,True
427910739,True,True,True,True,True,True,True,True,True,True,True,True
431223720,True,True,True,True,True,True,True,True,True,True,False,True
2213066448,True,True,True,True,True,True,True,True,True,True,True,True
428774569,True,True,True,True,True,True,True,True,True,True,True,True
428425498,True,True,True,True,True,True,True,True,True,True,True,True
432833019,True,True,False,True,True,True,True,True,True,True,False,True
2553082152,True,True,True,True,True,True,True,True,True,True,True,False
433313849,True,True,True,True,True,False,False,True,True,False,True,True
432134389,True,True,True,True,True,True,True,True,False,False,True,True
2070074502,True,True,True,True,True,True,True,True,True,True,True,True
2500467295,True,True,True,True,True,True,True,True,True,True,True,True
1856375198,True,True,True,True,True,False,True,True,True,True,True,False
424056782,True,True,True,True,True,False,True,True,True,True,True,True
431179456,True,True,True,True,False,True,True,True,True,True,True,True
2785491501,True,True,True,True,True,True,True,True,True,True,True,True
2634603743,True,True,True,False,True,True,True,True,True,True,True,True
2691795099,True,True,True,True,True,True,True,True,True,True,True,True
427213440,True,True,True,True,True,True,True,True,True,True,True,True
2843499866,True,True,True,True,True,True,True,True,True,True,True,True
918716799,True,True,True,True,True,True,True,True,True,True,True,True
2714798364,True,True,True,True,True,True,True,True,True,True,True,False
423942634,True,True,True,True,True,True,True,True,True,True,True,True
427858158,True,True,True,True,False,True,True,True,True,False,True,True
2609134729,True,True,True,True,True,True,True,True,True,True,True,True
1284598177,True,True,True,True,True,True,True,True,True,True,True,True
2198905335,True,True,True,False,True,True,True,True,True,True,True,True
2592819884,True,True,True,True,True,True,True,True,True,True,True,True
432251486,True,True,True,True,True,True,True,True,True,True,True,True
424550213,True,True,True,True,True,True,True,True,True,True,True,True
424766357,True,True,True,True,True,True,True,True,False,True,True,False
2218317911,True,True,True,True,True,True,True,True,True,True,True,True
427424676,True,True,True,True,True,True,True,True,True,True,True,True
423944675,True,True,True,True,True,True,True,True,True,False,False,True
432181876,True,True,True,True,True,True,False,True,False,True,True,True
432324135,True,True,True,True,True,True,True,True,True,True,True,True
426729621,True,True,True,True,True,True,True,True,True,False,False,True
2220183825,True,True,True,True,True,True,True,True,True,True,True,True
1440653059,True,True,True,True,True,True,True,True,True,True,True,True
426617158,True,True,True,True,True,True,True,True,True,False,True,True
433809875,True,True,True,False,True,True,True,True,True,True,True,True
431519311,True,True,True,True,True,True,True,True,True,True,True,True
2213029827,True,True,True,True,True,True,True,True,True,True,False,True
2714124886,True,True,True,True,True,True,True,True,True,True,True,True
2891611717,True,True,True,True,True,True,True,True,False,True,True,True
431199106,True,True,True,True,True,True,True,True,True,True,True,True
2231064049,True,True,True,True,True,True,True,True,True,True,True,False
2242884829,True,True,True,True,True,True,True,True,True,True,True,True
1819618942,True,True,False,True,True,True,True,True,True,True,True,False
424258652,True,True,True,True,True,True,True,True,True,True,False,False
430101275,True,True,True,True,True,True,True,True,True,True,True,True
2448458306,True,True,True,True,True,True,True,True,False,True,True,True
